TYPE,NAME,STATUS,TYPE A CITATION,TYPE B CITATION,ADDRESS,CITY,STATE,ZIPCODE,COUNTY
DAY CARE CENTER,A BRIGHTER FUTURE PRESCHOOL & CDC,CLOSED,1,1,3422 TRIPP COURT,SAN DIEGO,CA,92121,SAN DIEGO
DAY CARE CENTER,A CHILD'S CENTER OF WONDER & DISCOVERY,CLOSED,0,0,9841 VINE STREET,LAKESIDE,CA,92040,SAN DIEGO
DAY CARE CENTER,A CHILDREN'S GARDEN - ENCINITAS,LICENSED,0,0,2241 WHISPER WIND LANE,ENCINITAS,CA,92024,SAN DIEGO
DAY CARE CENTER,A CHILDREN'S GARDEN - LEUCADIA,LICENSED,0,0,1421 BURGUNDY ROAD,ENCINITAS,CA,92024,SAN DIEGO
DAY CARE CENTER,A CHILDREN'S GARDEN - VISTA,INACTIVE,0,0,152 GRAPEVINE ROAD,VISTA,CA,92083,SAN DIEGO
DAY CARE CENTER,A CREATIVE BEGINNING,CLOSED,0,0,1701 N. SANTA FE AVENUE,VISTA,CA,92084,SAN DIEGO
DAY CARE CENTER,A PLACE OF OUR OWN CDC,CLOSED,0,0,1851 E. WASHINGTON AVENUE,ESCONDIDO,CA,92027,SAN DIEGO
DAY CARE CENTER,A PLACE OF OUR OWN CDC & SCHOOL-AGE PROGRAM/ASH,LICENSED,0,0,120 N ASH STREET,ESCONDIDO,CA,92027,SAN DIEGO
DAY CARE CENTER,A PLACE OF OUR OWN CHILD DEVELOPMENT CENTER,LICENSED,0,0,2355 E VALLEY PARKWAY,ESCONDIDO,CA,92027,SAN DIEGO
DAY CARE CENTER,A RISING STAR ACADEMY CHILDCARE CENTER INC.,LICENSED,0,0,169 ROYMAR ROAD,OCEANSIDE,CA,92058,SAN DIEGO
DAY CARE CENTER,ABC BARN CHILDREN'S PLACE,LICENSED,1,0,10842 FURY LANE,LA MESA,CA,91941,SAN DIEGO
DAY CARE CENTER,ABC CHILDREN'S CENTER AT SAN DIEGO,LICENSED,0,0,12145 ALTA CARMEL COURT #270,SAN DIEGO,CA,92128,SAN DIEGO
DAY CARE CENTER,THE ACADEMY AT BRIGHT HORIZONS,LICENSED,0,0,2232 ENCINITAS BOULEVARD,ENCINITAS,CA,92024,SAN DIEGO
DAY CARE CENTER,ACADEMY OF PLAY,PENDING,0,0,7255 UNIVERSITY AVENUE,LA MESA,CA,91942,SAN DIEGO
DAY CARE CENTER,ACADEMY OF PLAY,LICENSED,0,0,892 EAST MADISON AVENUE,EL CAJON,CA,92020,SAN DIEGO
DAY CARE CENTER,ADAMS STATE PRESCHOOL,LICENSED,0,0,4672 35TH STREET,SAN DIEGO,CA,92116,SAN DIEGO
DAY CARE CENTER,ADOBE BLUFFS PRESCHOOL,LICENSED,0,0,8707 ADOBE BLUFFS DRIVE,SAN DIEGO,CA,92129,SAN DIEGO
DAY CARE CENTER,ADVENTURE DAYS,CLOSED,0,0,10881 TIERRASANTA BLVD,SAN DIEGO,CA,92124,SAN DIEGO
DAY CARE CENTER,ADVENTURE DAYS PRESCHOOL,LICENSED,1,3,10881 TIERRASANTA BOULEVARD,SAN DIEGO,CA,92124,SAN DIEGO
DAY CARE CENTER,ADVENTURE POINT EARLY LEARNING CENTER,LICENSED,0,0,1805 EAST 17TH STREET,NATIONAL CITY,CA,91950,SAN DIEGO
DAY CARE CENTER,ADVENTURELAND CHRISTIAN PRESCHOOL,LICENSED,0,2,1305 DEODAR RD. STE. 100,ESCONDIDO,CA,92026,SAN DIEGO
